"Mapping_ID","Project_Name","Subject_Area","Source_System","Source_Database","Source_Schema","Source_Table","Source_Column","Source_Data_Type","Source_Length","Source_Nullable","Source_PK","Source_FK","Business_Rule_ID","Business_Rule_Name","Business_Definition","Transformation_Type","Transformation_Logic","Lookup_Table","Lookup_Join_Condition","Filter_Condition","Target_System","Target_Database","Target_Schema","Target_Table","Target_Column","Target_Data_Type","Target_Length","Target_Precision","Target_Scale","Target_Nullable","Target_PK","Target_FK","DQ_Rule","DQ_Severity","DQ_Action","SCD_Type","Effective_Date_Column","End_Date_Column","Current_Flag_Column","PII_Flag","Data_Masking_Rule","Owner","Approval_Status","Release","Notes"
"MAP_0011","DE Copilot Insurance Data Product","Customer 360","PRODUCT_MASTER","SRC_DB","PUBLIC","SRC_POLICY","CUSTOMER_SEGMENT","VARCHAR","50","Y","N","N","BR_0011","Customer Data Standardization","Customer market segment","Direct","Direct Mapping","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","CUSTOMER_SEGMENT","VARCHAR","50","","","Y","N","N","Must follow valid email format","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for CUSTOMER_SEGMENT"
"MAP_0012","DE Copilot Insurance Data Product","Customer 360","CLAIMS","SRC_DB","PUBLIC","SRC_CUSTOMER","CUSTOMER_STATUS","VARCHAR","30","N","N","N","BR_0012","Customer Data Standardization","Customer active or inactive status","Derived","TRIM(CUSTOMER_STATUS)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","CUSTOMER_STATUS","VARCHAR","30","","","N","N","N","Must be valid active status","HIGH","Reject Row","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for CUSTOMER_STATUS"
"MAP_0013","DE Copilot Insurance Data Product","Customer 360","POLICY_ADMIN","SRC_DB","PUBLIC","SRC_CUSTOMER","ADDRESS_LINE_1","VARCHAR","255","Y","N","N","BR_0013","Customer Data Standardization","Primary address line","Derived","COALESCE(ADDRESS_LINE_1, 'UNKNOWN')","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","ADDRESS_LINE_1","VARCHAR","255","","","Y","N","N","Must be valid date","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for ADDRESS_LINE_1"
"MAP_0014","DE Copilot Insurance Data Product","Customer 360","AGENCY","SRC_DB","PUBLIC","SRC_POLICY","ADDRESS_LINE_2","VARCHAR","255","Y","N","N","BR_0014","Customer Data Standardization","Secondary address line","Direct","Direct Mapping","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","ADDRESS_LINE_2","VARCHAR","255","","","Y","N","N","Must not be null","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for ADDRESS_LINE_2"
"MAP_0015","DE Copilot Insurance Data Product","Customer 360","CLAIMS","SRC_DB","PUBLIC","SRC_CUSTOMER","SRC_CITY","VARCHAR","100","Y","N","N","BR_0015","Customer Data Standardization","Customer city","Derived","CASE WHEN SRC_CITY IS NULL THEN 'N' ELSE 'Y' END","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","CITY","VARCHAR","100","","","Y","N","N","Must exist in lookup table","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for CITY"
"MAP_0016","DE Copilot Insurance Data Product","Customer 360","PRODUCT_MASTER","SRC_DB","PUBLIC","SRC_AGENT","STATE_CODE","VARCHAR","10","Y","N","N","BR_0016","Customer Data Standardization","Customer state code","Derived","ROUND(STATE_CODE, 2)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","STATE_CODE","VARCHAR","10","","","Y","N","N","Must be greater than or equal to zero","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for STATE_CODE"
"MAP_0017","DE Copilot Insurance Data Product","Customer 360","POLICY_ADMIN","SRC_DB","PUBLIC","SRC_CUSTOMER","ZIP_CODE","VARCHAR","20","Y","N","N","BR_0017","Customer Data Standardization","Postal code","Derived","TRIM(ZIP_CODE)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","ZIP_CODE","VARCHAR","20","","","Y","N","N","Must match approved reference values","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for ZIP_CODE"
"MAP_0018","DE Copilot Insurance Data Product","Customer 360","CLAIMS","SRC_DB","PUBLIC","SRC_PRODUCT","COUNTRY_CODE","VARCHAR","10","Y","N","N","BR_0018","Customer Data Standardization","Country code","Derived","CASE WHEN COUNTRY_CODE IS NULL THEN 'N' ELSE 'Y' END","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","COUNTRY_CODE","VARCHAR","10","","","Y","N","N","Must match approved reference values","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for COUNTRY_CODE"
"MAP_0019","DE Copilot Insurance Data Product","Customer 360","CRM","SRC_DB","PUBLIC","SRC_AGENT","REGION","VARCHAR","50","Y","N","N","BR_0019","Customer Data Standardization","Business region","Derived","CONCAT(FIRST_NAME, ' ', LAST_NAME)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","REGION","VARCHAR","50","","","Y","N","N","Must be valid active status","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for REGION"
"MAP_0020","DE Copilot Insurance Data Product","Customer 360","CRM","SRC_DB","PUBLIC","SRC_CUSTOMER","SRC_AGENT_ID","NUMBER","18","Y","N","N","BR_0020","Customer Data Standardization","Agent identifier","Derived","CASE WHEN SRC_AGENT_ID IN ('BOUND','ISSUED') THEN 'ACTIVE' ELSE 'INACTIVE' END","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","AGENT_ID","NUMBER","","18","0","Y","N","N","Must match approved reference values","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for AGENT_ID"
"MAP_0021","DE Copilot Insurance Data Product","Customer 360","CRM","SRC_DB","PUBLIC","SRC_AGENT","AGENT_NAME","VARCHAR","200","Y","N","N","BR_0021","Customer Data Standardization","Agent name","Derived","CAST(AGENT_NAME AS DATE)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","AGENT_NAME","VARCHAR","200","","","Y","N","N","Must exist in lookup table","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for AGENT_NAME"
"MAP_0022","DE Copilot Insurance Data Product","Customer 360","POLICY_ADMIN","SRC_DB","PUBLIC","SRC_CUSTOMER","BROKER_ID","NUMBER","18","Y","N","N","BR_0022","Customer Data Standardization","Broker identifier","Derived","ROUND(BROKER_ID, 2)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","BROKER_ID","NUMBER","","18","0","Y","N","N","Must not be null","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for BROKER_ID"
"MAP_0023","DE Copilot Insurance Data Product","Customer 360","AGENCY","SRC_DB","PUBLIC","SRC_AGENT","BROKER_NAME","VARCHAR","200","Y","N","N","BR_0023","Customer Data Standardization","Broker name","Derived","ROUND(BROKER_NAME, 2)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","BROKER_NAME","VARCHAR","200","","","Y","N","N","Must follow valid email format","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for BROKER_NAME"
"MAP_0024","DE Copilot Insurance Data Product","Customer 360","PRODUCT_MASTER","SRC_DB","PUBLIC","SRC_POLICY","PRODUCT_ID","NUMBER","18","Y","N","N","BR_0024","Customer Data Standardization","Product identifier","Derived","COALESCE(PRODUCT_ID, 'UNKNOWN')","LKP_PRODUCT","SRC.PRODUCT_ID = LKP.PRODUCT_ID","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","PRODUCT_ID","NUMBER","","18","0","Y","N","N","Must not be null","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for PRODUCT_ID"
"MAP_0025","DE Copilot Insurance Data Product","Customer 360","POLICY_ADMIN","SRC_DB","PUBLIC","SRC_CLAIM","SRC_PRODUCT_NAME","VARCHAR","200","Y","N","N","BR_0025","Customer Data Standardization","Product name","Derived","CONCAT(FIRST_NAME, ' ', LAST_NAME)","LKP_PRODUCT","SRC.PRODUCT_ID = LKP.PRODUCT_ID","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","PRODUCT_NAME","VARCHAR","200","","","Y","N","N","Must be valid active status","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for PRODUCT_NAME"
"MAP_0026","DE Copilot Insurance Data Product","Customer 360","POLICY_ADMIN","SRC_DB","PUBLIC","SRC_CLAIM","POLICY_NUMBER","VARCHAR","50","Y","N","N","BR_0026","Customer Data Standardization","Policy number","Derived","TRIM(POLICY_NUMBER)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","POLICY_NUMBER","VARCHAR","50","","","Y","N","N","Must pass datatype validation","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for POLICY_NUMBER"
"MAP_0027","DE Copilot Insurance Data Product","Customer 360","CLAIMS","SRC_DB","PUBLIC","SRC_CLAIM","POLICY_TYPE","VARCHAR","50","Y","N","N","BR_0027","Customer Data Standardization","Policy type","Derived","TRIM(POLICY_TYPE)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","POLICY_TYPE","VARCHAR","50","","","Y","N","N","Must be unique","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for POLICY_TYPE"
"MAP_0028","DE Copilot Insurance Data Product","Customer 360","POLICY_ADMIN","SRC_DB","PUBLIC","SRC_POLICY","POLICY_STATUS","VARCHAR","30","Y","N","N","BR_0028","Customer Data Standardization","Policy status","Derived","CASE WHEN POLICY_STATUS IN ('BOUND','ISSUED') THEN 'ACTIVE' ELSE 'INACTIVE' END","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","POLICY_STATUS","VARCHAR","30","","","Y","N","N","Must follow valid email format","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for POLICY_STATUS"
"MAP_0029","DE Copilot Insurance Data Product","Customer 360","AGENCY","SRC_DB","PUBLIC","SRC_PRODUCT","POLICY_START_DATE","DATE","","Y","N","N","BR_0029","Customer Data Standardization","Policy start date","Derived","ROUND(POLICY_START_DATE, 2)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","POLICY_START_DATE","DATE","","","","Y","N","N","Length must not exceed target length","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for POLICY_START_DATE"
"MAP_0030","DE Copilot Insurance Data Product","Customer 360","CLAIMS","SRC_DB","PUBLIC","SRC_AGENT","SRC_POLICY_END_DATE","DATE","","Y","N","N","BR_0030","Customer Data Standardization","Policy end date","Derived","CASE WHEN SRC_POLICY_END_DATE IN ('BOUND','ISSUED') THEN 'ACTIVE' ELSE 'INACTIVE' END","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","POLICY_END_DATE","DATE","","","","Y","N","N","Must pass datatype validation","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for POLICY_END_DATE"
"MAP_0031","DE Copilot Insurance Data Product","Customer 360","POLICY_ADMIN","SRC_DB","PUBLIC","SRC_CUSTOMER","RENEWAL_DATE","DATE","","Y","N","N","BR_0031","Customer Data Standardization","Policy renewal date","Derived","TRIM(RENEWAL_DATE)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","RENEWAL_DATE","DATE","","","","Y","N","N","Length must not exceed target length","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for RENEWAL_DATE"
"MAP_0032","DE Copilot Insurance Data Product","Customer 360","PRODUCT_MASTER","SRC_DB","PUBLIC","SRC_CLAIM","PREMIUM_AMOUNT","NUMBER","18","Y","N","N","BR_0032","Customer Data Standardization","Premium amount","Derived","COALESCE(PREMIUM_AMOUNT, 'UNKNOWN')","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","PREMIUM_AMOUNT","NUMBER","","18","2","Y","N","N","Must follow valid email format","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for PREMIUM_AMOUNT"
"MAP_0033","DE Copilot Insurance Data Product","Customer 360","CRM","SRC_DB","PUBLIC","SRC_PRODUCT","WRITTEN_PREMIUM","NUMBER","18","Y","N","N","BR_0033","Customer Data Standardization","Written premium","Derived","COALESCE(WRITTEN_PREMIUM, 'UNKNOWN')","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","WRITTEN_PREMIUM","NUMBER","","18","2","Y","N","N","Must be valid active status","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for WRITTEN_PREMIUM"
"MAP_0034","DE Copilot Insurance Data Product","Customer 360","CRM","SRC_DB","PUBLIC","SRC_POLICY","EARNED_PREMIUM","NUMBER","18","Y","N","N","BR_0034","Customer Data Standardization","Earned premium","Direct","Direct Mapping","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","EARNED_PREMIUM","NUMBER","","18","2","Y","N","N","Must match approved reference values","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for EARNED_PREMIUM"
"MAP_0035","DE Copilot Insurance Data Product","Customer 360","POLICY_ADMIN","SRC_DB","PUBLIC","SRC_PRODUCT","SRC_CLAIM_COUNT","NUMBER","18","Y","N","N","BR_0035","Customer Data Standardization","Number of claims","Derived","TRIM(SRC_CLAIM_COUNT)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","CLAIM_COUNT","NUMBER","","18","0","Y","N","N","Length must not exceed target length","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for CLAIM_COUNT"
"MAP_0036","DE Copilot Insurance Data Product","Customer 360","PRODUCT_MASTER","SRC_DB","PUBLIC","SRC_PRODUCT","CLAIM_AMOUNT","NUMBER","18","Y","N","N","BR_0036","Customer Data Standardization","Total claim amount","Derived","TRIM(CLAIM_AMOUNT)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","CLAIM_AMOUNT","NUMBER","","18","2","Y","N","N","Must be greater than or equal to zero","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for CLAIM_AMOUNT"
"MAP_0037","DE Copilot Insurance Data Product","Customer 360","CLAIMS","SRC_DB","PUBLIC","SRC_CLAIM","LOSS_RATIO","NUMBER","10","Y","N","N","BR_0037","Customer Data Standardization","Loss ratio","Derived","CAST(LOSS_RATIO AS DATE)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","LOSS_RATIO","NUMBER","","10","4","Y","N","N","Length must not exceed target length","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for LOSS_RATIO"
"MAP_0038","DE Copilot Insurance Data Product","Customer 360","PRODUCT_MASTER","SRC_DB","PUBLIC","SRC_CUSTOMER","UNDERWRITER_ID","NUMBER","18","Y","N","N","BR_0038","Customer Data Standardization","Underwriter identifier","Derived","UPPER(TRIM(UNDERWRITER_ID))","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","UNDERWRITER_ID","NUMBER","","18","0","Y","N","N","Must be greater than or equal to zero","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for UNDERWRITER_ID"
"MAP_0039","DE Copilot Insurance Data Product","Customer 360","PRODUCT_MASTER","SRC_DB","PUBLIC","SRC_CUSTOMER","UNDERWRITER_NAME","VARCHAR","200","Y","N","N","BR_0039","Customer Data Standardization","Underwriter name","Derived","CONCAT(FIRST_NAME, ' ', LAST_NAME)","","","WHERE ACTIVE_FLAG = 'Y'","SNOWFLAKE","ANALYTICS_DB","CORE","CUSTOMER_DIM","UNDERWRITER_NAME","VARCHAR","200","","","Y","N","N","Must match approved reference values","MEDIUM","Flag Record","SCD1","EFFECTIVE_DATE","EXPIRY_DATE","CURRENT_FLAG","N","","Data Engineering Team","Approved","Release 1.0","Mapping generated for UNDERWRITER_NAME"
